Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.642666,      0.1000622,              0,       632.8943,       -112.892
       4.644619,      0.1000637,              0,       634.3411,      -113.1322
       4.646572,     0.09999382,              0,       636.8187,      -114.1597
       4.648525,      0.1002617,              0,       647.1605,      -113.7006
       4.650478,      0.1000894,              0,       646.3772,      -112.6641
       4.652431,     0.09992016,              0,       643.3801,      -113.5184
       4.654385,      0.1001404,              0,        649.962,       -113.815
       4.656338,      0.1000399,              0,       652.1102,      -113.8957
       4.658291,      0.1001139,              0,       657.2148,      -113.6784
       4.660244,      0.1000236,              0,       655.3215,      -113.6558
       4.662197,      0.1000947,              0,       659.1176,      -113.7423
        4.66415,      0.1000797,              0,       662.6818,      -113.4519
       4.666103,      0.1000015,              0,       662.4886,      -113.9512
       4.668056,      0.1000854,              0,       666.6299,      -114.3842
        4.67001,      0.1000482,              0,       668.9574,       -114.445
       4.671973,       0.100285,              0,       675.5676,      -113.5127
       4.673926,     0.09999152,              0,       671.9641,      -113.5259
       4.675879,     0.09988861,              0,       671.8917,      -114.8228
       4.677832,      0.1000901,              0,       675.6214,      -115.0384
       4.679785,      0.1001043,              0,       680.6548,      -115.0403
       4.681738,      0.1002444,              0,       686.1578,      -114.3788
       4.683692,     0.09994518,              0,       681.2654,      -114.4459
       4.685645,      0.1000191,              0,       686.8689,      -115.4688
       4.687598,       0.100178,              0,       691.1412,      -114.9761
       4.689551,      0.1000975,              0,       691.2391,      -114.5134
       4.691504,      0.1000086,              0,       689.7257,      -115.0919
       4.693457,      0.1001399,              0,       697.5461,      -115.3899
        4.69541,      0.1000772,              0,       701.8124,      -114.9725
       4.697363,      0.1001446,              0,       702.7035,      -114.0749
       4.699317,     0.09992725,              0,       699.6708,      -114.3887
        4.70127,      0.1001138,              0,       707.9811,       -114.312
       4.703223,      0.1000777,              0,       706.7701,      -113.6262
       4.705176,      0.0998442,              0,       703.9487,      -114.9418
       4.707129,      0.1000644,              0,       712.3846,        -115.55
       4.709082,     0.09992334,              0,       712.8046,      -116.0397
       4.711035,       0.100086,              0,       718.1332,      -116.1188
       4.712988,       0.100253,              0,        726.955,      -115.2466
       4.714942,      0.1000898,              0,       725.6306,      -114.1838
       4.716895,     0.09988118,              0,       721.9172,      -114.7093
       4.718848,     0.09998996,              0,       729.0524,      -115.5443
        4.72081,      0.1000993,              0,        733.025,      -115.6223
       4.722764,      0.1000264,              0,       732.3478,      -115.6441
       4.724717,     0.09996601,              0,       735.6099,      -115.8359
