Group Signal ,Sx,Frame 128552,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       6.508965,      0.1995592,              0,       523.4012,      -103.0125
       6.510801,      0.1994983,              0,       523.5476,      -103.0123
       6.512598,      0.1995794,              0,       526.6534,      -102.9341
       6.514434,      0.1994595,              0,       529.2952,      -102.9233
        6.51627,      0.1996851,              0,       530.4286,      -102.8799
       6.518106,      0.1994715,              0,       532.2287,       -102.939
       6.519941,      0.1997947,              0,       534.1735,      -102.9409
       6.521777,       0.199675,              0,       536.6213,       -103.125
       6.523613,      0.1992788,              0,       536.4325,      -103.3203
       6.525449,      0.1998418,              0,       537.9487,      -103.4043
       6.527285,       0.199684,              0,       540.3395,      -103.3922
       6.529101,      0.1995702,              0,       540.8778,       -103.385
       6.530938,      0.1996944,              0,       543.2771,      -103.3129
       6.532773,      0.1998609,              0,        544.752,      -103.4949
       6.534609,      0.1997379,              0,       546.3163,      -103.4915
       6.536407,      0.1990169,              0,       543.9683,      -103.5397
       6.538242,      0.1990227,              0,       544.9086,      -102.9893
       6.540078,       0.199616,              0,       550.7094,      -102.6174
       6.541914,      0.2001731,              0,       556.2151,      -102.7521
        6.54375,      0.2000081,              0,       556.9183,      -103.5408
       6.545586,      0.1994091,              0,       555.0922,      -103.7346
       6.547422,      0.1992513,              0,       555.2318,      -103.4856
       6.549258,      0.1995301,              0,       557.5241,      -103.1809
       6.551055,      0.1998518,              0,       562.5612,       -103.144
       6.552891,      0.1998891,              0,       565.4136,      -103.4791
       6.554727,      0.1996824,              0,       564.4966,      -103.6841
       6.556562,      0.1990076,              0,       563.4769,      -103.7543
       6.558398,      0.1993234,              0,       564.1639,      -103.4214
       6.560235,      0.1998646,              0,       570.1354,      -103.2154
        6.56207,      0.1999587,              0,       572.3795,      -103.4644
       6.563906,      0.1992851,              0,       571.4315,      -103.6576
       6.565742,      0.1989991,              0,       570.5421,      -103.2875
       6.567539,      0.1991914,              0,         573.26,      -102.7827
       6.569375,      0.1999899,              0,       579.9266,      -102.8324
       6.571211,      0.2004468,              0,       584.8325,      -103.1995
       6.573047,      0.1993989,              0,       581.8926,      -103.7914
       6.574883,      0.1989518,              0,       579.2198,      -103.6681
       6.576719,      0.1993563,              0,       581.6519,      -103.0517
       6.578555,      0.1999404,              0,       586.9463,      -103.0626
        6.58039,      0.1997968,              0,       589.8459,      -103.3383
       6.582188,      0.1996779,              0,       590.4094,      -103.5775
       6.584023,      0.1995249,              0,       591.0674,       -103.698
       6.585859,      0.2000109,              0,       593.4579,      -103.7612
       6.587695,      0.1997177,              0,       596.2202,      -104.0295
       6.589531,      0.1995311,              0,       595.1912,      -104.2319
       6.591367,      0.1993401,              0,        596.757,      -104.0505
       6.593203,      0.1992834,              0,        596.075,       -103.959
       6.595039,      0.1994728,              0,        598.607,      -103.6112
       6.596836,      0.1999269,              0,       602.0415,       -103.577
       6.598672,      0.1997392,              0,       604.0541,      -103.7263
       6.600508,       0.199225,              0,       604.9013,      -103.7796
       6.602344,      0.1994411,              0,       605.3115,       -103.668
        6.60418,      0.1995561,              0,       609.3787,      -103.5245
       6.606016,      0.1996431,              0,       611.2201,      -103.7582
       6.607852,       0.199765,              0,        612.726,       -103.907
       6.609687,      0.1998847,              0,        614.656,      -103.8506
       6.611524,       0.198978,              0,       613.9044,        -104.07
        6.61332,      0.1991137,              0,       613.3295,      -103.7289
       6.615156,      0.1991143,              0,       617.7617,       -103.326
       6.616992,      0.1999201,              0,       622.9311,      -103.2324
       6.618828,      0.2004865,              0,       629.1577,      -103.4964
       6.620664,      0.1998761,              0,       629.1628,      -104.2228
         6.6225,      0.1996936,              0,       627.2723,      -104.3696
       6.624336,      0.1996735,              0,       627.4861,      -104.4625
       6.626172,      0.1993881,              0,       629.4509,      -104.2539
       6.627969,      0.1993176,              0,       629.3907,      -104.2574
       6.629805,      0.1995478,              0,       633.4365,      -104.0005
        6.63164,      0.1998906,              0,       636.5283,      -104.0735
       6.633477,      0.2000169,              0,       639.6021,      -104.3319
       6.635293,      0.1994035,              0,       639.0917,      -104.6004
       6.637129,      0.1991167,              0,       636.2587,      -104.5996
       6.638965,      0.1991387,              0,       639.2545,      -104.0127
       6.640801,      0.1993562,              0,       642.2623,      -103.9591
       6.642637,      0.1997665,              0,       646.8411,      -103.8042
       6.644473,      0.1999044,              0,       650.0652,       -104.108
       6.646308,      0.1998528,              0,       650.9379,      -104.3138
       6.648145,      0.1995838,              0,       650.8832,      -104.4532
       6.649981,      0.1988975,              0,       649.9623,      -104.4255
       6.651777,      0.1987104,              0,       650.5892,      -104.0605
       6.653613,      0.1998004,              0,       656.1605,      -103.4983
       6.655449,      0.2003709,              0,       663.1859,      -103.7141
       6.657285,      0.2001827,              0,       665.3605,      -104.2323
       6.659121,      0.1998216,              0,       664.7328,      -104.6643
       6.660957,      0.1991102,              0,        663.313,      -104.6664
       6.662793,      0.1992487,              0,       663.1621,      -104.5651
       6.664629,      0.1996507,              0,       667.1948,      -104.2178
       6.666426,       0.199628,              0,       670.6121,      -104.3474
       6.668262,      0.1996581,              0,       672.8901,      -104.5067
       6.670098,      0.1996776,              0,       674.1192,      -104.6354
       6.671934,      0.1998473,              0,       677.5814,      -104.7104
       6.673769,      0.1996719,              0,       678.4034,      -104.8581
       6.675605,      0.1992283,              0,       679.9777,      -104.9314
       6.677442,       0.199412,              0,       679.9554,      -104.8737
       6.679277,      0.1999058,              0,       684.4778,      -104.6703
       6.681113,      0.1998128,              0,       686.4115,      -104.8348
        6.68291,      0.1993703,              0,       685.3008,      -104.9658
       6.684746,      0.1991075,              0,        686.798,      -104.7536
       6.686582,       0.199464,              0,       687.4569,      -104.7082
       6.688418,      0.1998723,              0,       692.5013,      -104.4268
       6.690254,      0.2000863,              0,       695.6134,      -104.7847
        6.69209,      0.2001398,              0,       698.1973,      -104.9983
       6.693926,      0.1995471,              0,       698.7488,      -105.3768
       6.695762,      0.1994503,              0,       697.1758,      -105.2642
       6.697558,      0.1987376,              0,       697.4516,      -105.1549
       6.699395,      0.1987714,              0,       698.4913,      -104.7945
       6.701231,      0.1996957,              0,       704.6762,       -104.472
       6.703066,      0.2005101,              0,       711.2182,      -104.4654
       6.704902,       0.200342,              0,       714.2928,      -105.1667
       6.706738,      0.2000212,              0,        712.739,      -105.5895
       6.708574,      0.1990828,              0,       710.4579,      -105.7165
        6.71041,      0.1986638,              0,       709.1321,      -105.5212
       6.712207,      0.1990082,              0,       711.8014,      -104.9947
       6.714043,      0.1997308,              0,       717.8876,       -104.543
       6.715879,      0.2000881,              0,       722.2529,      -104.7504
       6.717715,      0.2001679,              0,       725.5519,      -104.9022
       6.719551,      0.1994911,              0,       724.1594,      -105.3457
       6.721387,      0.1995061,              0,       724.3645,      -105.2297
       6.723223,       0.199184,              0,       725.7676,      -105.2925
       6.725059,       0.199455,              0,       728.0846,       -105.171
       6.726894,      0.1998419,              0,       734.3189,       -104.923
       6.728692,      0.1995756,              0,       734.4275,      -105.1374
       6.730527,       0.199884,              0,       734.9701,      -105.2125
       6.732363,      0.1998818,              0,       739.3672,      -105.3133
       6.734199,      0.1994813,              0,       739.3073,      -105.5402
       6.736035,      0.1995066,              0,       739.3821,      -105.6087
       6.737871,      0.1996307,              0,       741.8124,      -105.4559
       6.739707,       0.199659,              0,       744.1911,      -105.5922
       6.741543,      0.1997557,              0,       747.3439,      -105.5495
